Data,Salário mínimo real - R$ - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAC12_SALMINRE12,
1964.03,1232.15491927034,
1964.04,1192.77276636357,
1964.05,1154.79914369434,
1964.06,1120.28622623045,
1964.07,1078.22929112228,
1964.08,1039.21583895361,
1964.09,1002.06121217988,
1964.10,956.176577648745,
1964.11,914.285255168711,
1964.12,875.432114627615,
1965.01,814.35200773065,
1965.02,761.239291696927,
1965.03,1123.32465463578,
1965.04,1077.00929800351,
1965.05,1034.3619285114,
1965.06,995.038274306702,
1965.07,960.457469262162,
1965.08,928.199527306526,
1965.09,897.27633773484,
1965.10,869.460446795494,
1965.11,843.303860695804,
1965.12,819.372564743471,
1966.01,781.84099949959,
1966.02,747.607692316255,
1966.03,911.932169471888,
1966.04,877.703355528371,
1966.05,845.951100488712,
1966.06,815.486408807372,
1966.07,790.197782540379,
1966.08,766.430406528907,
1966.09,744.857777226831,
1966.10,726.687180673042,
1966.11,709.389480507182,
1966.12,692.61098629739,
1967.01,673.224804790926,
1967.02,660.672036104932,
1967.03,802.987601134217,
1967.04,784.278663549543,
1967.05,765.028187262418,
1967.06,749.359756000587,
1967.07,739.482430569999,
1967.08,729.862104066487,
1967.09,721.106260487283,
1967.10,711.955165811049,
1967.11,703.621242465435,
1967.12,696.055422653978,
1968.01,677.016094922494,
1968.02,664.716434430221,
1968.03,802.69683061846,
1968.04,784.508835966984,
1968.05,771.686254695607,
1968.06,757.614659971034,
1968.07,741.391647980219,
1968.08,730.442826174604,
1968.09,719.81268109514,
1968.10,709.003207385862,
1968.11,698.513583604766,
1968.12,688.329820291774,
1969.01,671.421912618156,
1969.02,663.699488064081,
1969.03,655.3247311169,
1969.04,647.158690853762,
1969.05,764.693967870865,
1969.06,743.326181610502,
1969.07,732.010911867016,
1969.08,723.120091075109,
1969.09,710.787173092021,
1969.10,700.041790296117,
1969.11,688.856549569622,
1969.12,679.497085580904,
1970.01,663.98015797603,
1970.02,655.967805597516,
1970.03,641.824762561019,
1970.04,635.302153185398,
1970.05,750.915698179499,
1970.06,738.714704560629,
1970.07,724.796891286299,
1970.08,707.03561025572,
1970.09,694.275596928569,
1970.10,685.708210677623,
1970.11,677.349690728053,
1970.12,671.288395956438,
1971.01,658.32802323942,
1971.02,650.056137332166,
1971.03,640.072340001126,
1971.04,631.983810009536,
1971.05,749.93342004322,
1971.06,732.910204995624,
1971.07,719.780842246896,
1971.08,711.006478853403,
1971.09,702.170670184157,
1971.10,692.754588400078,
1971.11,682.555483474596,
1971.12,674.912085003436,
1972.01,659.164956516297,
1972.02,646.901422441576,
1972.03,635.75579315197,
1972.04,629.557616895614,
1972.05,744.408906472345,
1972.06,737.275624685478,
1972.07,728.30269619032,
1972.08,720.749205530601,
1972.09,705.409094738365,
1972.10,696.739772099278,
1972.11,689.823687265759,
1972.12,684.562877448671,
1973.01,675.335227376478,
1973.02,671.75533998471,
1973.03,666.353039075461,
1973.04,659.014798204639,
1973.05,756.824841082845,
1973.06,745.320201173687,
1973.07,733.514014355447,
1973.08,721.034969705225,
1973.09,709.77839197778,
1973.10,706.769156285393,
